image_path,class,x_center,y_center,width,height
images/1jj3P4bovaY_360p_mp4-0001_jpg.rf.01699a140be6d56951257782a1aab40e.jpg,suspicious-suspect,0.31015625,0.30703125,0.1921875,0.60859375
images/1jj3P4bovaY_360p_mp4-0001_jpg.rf.520dce5cc057edf223d5fa978fd49661.jpg,suspicious-suspect,0.31015625,0.30703125,0.1921875,0.60859375
images/1jj3P4bovaY_360p_mp4-0001_jpg.rf.e4ac7e77b127095a135e65b1d5e6bce3.jpg,suspicious-suspect,0.31015625,0.30703125,0.1921875,0.60859375
images/1jj3P4bovaY_360p_mp4-0003_jpg.rf.ca6a13aac3a3004422e0cf497abe7740.jpg,suspicious-suspect,0.3609375,0.396875,0.21875,0.7671875
images/1jj3P4bovaY_360p_mp4-0003_jpg.rf.d0dc33c94f65ae9fc450071fe1c18657.jpg,suspicious-suspect,0.3609375,0.396875,0.21953125,0.7671875
images/1jj3P4bovaY_360p_mp4-0003_jpg.rf.d4c6beab64b22e151655a51bf3a5632a.jpg,suspicious-suspect,0.3609375,0.396875,0.21875,0.7671875
images/1jj3P4bovaY_360p_mp4-0005_jpg.rf.376c5225c0eee4967ecd76c7e290227f.jpg,suspicious-suspect,0.41171875,0.47890625,0.22265625,0.89140625
images/1jj3P4bovaY_360p_mp4-0005_jpg.rf.503ecc1538b912d752328f80ba5f7d87.jpg,suspicious-suspect,0.41171875,0.47890625,0.221875,0.890625
images/1jj3P4bovaY_360p_mp4-0005_jpg.rf.61a363d1981e01dd486b20cbe8d90b4d.jpg,suspicious-suspect,0.41171875,0.47890625,0.22265625,0.89140625
images/1jj3P4bovaY_360p_mp4-0008_jpg.rf.6eeda62e3e04cff2a44e47c7bae08b6d.jpg,suspicious-suspect,0.48359375,0.56796875,0.2265625,0.8640625
images/1jj3P4bovaY_360p_mp4-0008_jpg.rf.8cc84791868db6ffe184e4ed1e9dd58c.jpg,suspicious-suspect,0.48359375,0.56796875,0.2265625,0.8640625
images/1jj3P4bovaY_360p_mp4-0008_jpg.rf.a5cc42438c8d4c630eb9c378357d44e4.jpg,suspicious-suspect,0.484375,0.56796875,0.2265625,0.86328125
images/1jj3P4bovaY_360p_mp4-0025_jpg.rf.1a2fb5a8f1bb136cb28da7a7fa6b75b0.jpg,suspicious-suspect,0.759375,0.52109375,0.19375,0.91953125
images/1jj3P4bovaY_360p_mp4-0025_jpg.rf.1a2fb5a8f1bb136cb28da7a7fa6b75b0.jpg,victim,0.35078125,0.43359375,0.1984375,0.75
images/1jj3P4bovaY_360p_mp4-0025_jpg.rf.1a2fb5a8f1bb136cb28da7a7fa6b75b0.jpg,normal-action,0.5671875,0.4015625,0.275,0.28046875
